sym,sector,signal_type,regime,entry_date,entry,stop,target,bars_held,is_short,smart_rank,exit_date,exit,pnl_pct,rr,outcome
PHDC,REAL_ESTATE,ultra,NEUTRAL,2024-04-18,3.84,3.72,4.21,3,False,33.27,2024-04-23,3.72,-3.7,1.0,LOSS
SKPC,INDUSTRIAL,early,NEUTRAL,2024-05-20,29.76,28.57,32.6,2,False,30.95,2024-05-22,28.57,-4.57,1.0,LOSS
EAST,ENERGY,early,NEUTRAL,2024-05-30,23.33,22.74,25.56,1,False,32.45,2024-06-02,22.74,-3.1,1.0,LOSS
HELI,REAL_ESTATE,ultra,NEUTRAL,2024-05-23,9.4,9.12,10.3,7,False,30.6,2024-06-03,10.3,9.0,3.21,WIN
SKPC,INDUSTRIAL,early,NEUTRAL,2024-05-22,28.36,27.22,31.07,10,False,30.35,2024-06-05,27.22,-4.59,1.0,LOSS
ADIB,BANKS,ultra,NEUTRAL,2024-06-24,33.17,32.17,36.33,7,False,33.3,2024-07-04,36.33,8.95,3.16,WIN
OCDI,REAL_ESTATE,ultra,NEUTRAL,2024-06-23,43.92,42.6,48.11,15,False,30.49,2024-07-16,42.6,-3.58,1.0,LOSS
FWRY,SERVICES,early,NEUTRAL,2024-06-27,6.47,6.3,7.09,15,False,37.25,2024-07-22,6.75,3.75,1.65,EXIT
COMI,BANKS,early,NEUTRAL,2024-06-27,74.77,72.89,81.91,15,False,35.43,2024-07-22,78.25601959228516,4.09,1.85,EXIT
ETEL,SERVICES,ultra,NEUTRAL,2024-07-16,30.18,29.27,33.06,8,False,30.15,2024-07-29,33.06,8.97,3.16,WIN
EAST,ENERGY,buy,NEUTRAL,2024-07-18,17.75,17.22,19.45,9,False,30.47,2024-08-01,19.45,9.0,3.21,WIN
OCDI,REAL_ESTATE,ultra,NEUTRAL,2024-08-11,41.79,40.53,45.78,2,False,34.88,2024-08-13,45.78,8.97,3.17,WIN
TMGH,REAL_ESTATE,ultra,NEUTRAL,2024-08-12,59.06,57.28,64.7,3,False,33.99,2024-08-15,57.28,-3.59,1.0,LOSS
OCDI,REAL_ESTATE,early,NEUTRAL,2024-08-13,47.06,45.64,51.56,5,False,38.16,2024-08-20,51.56,8.99,3.17,WIN
