sym,sector,signal_type,regime,entry_date,entry,stop,target,bars_held,is_short,smart_rank,exit_date,exit,pnl_pct,rr,outcome
TMGH,REAL_ESTATE,early,NEUTRAL,2025-03-18,53.86,52.24,59.01,8,False,32.62,2025-04-03,52.24,-3.58,1.0,LOSS
ADIB,BANKS,early,NEUTRAL,2025-03-13,42.36,41.29,46.4,12,False,29.56,2025-04-06,41.29,-3.1,1.0,LOSS
EAST,ENERGY,early,NEUTRAL,2025-03-20,30.78,29.85,33.72,7,False,25.03,2025-04-06,29.85,-3.6,1.0,LOSS
OCDI,REAL_ESTATE,early,NEUTRAL,2025-03-26,66.67,63.98,73.03,3,False,20.88,2025-04-06,63.98,-4.61,1.0,LOSS
JUFO,SERVICES,ultra,NEUTRAL,2025-04-03,32.92,32.1,36.07,1,False,28.78,2025-04-06,32.1,-3.07,1.0,LOSS
HELI,REAL_ESTATE,early,NEUTRAL,2025-04-06,10.99,10.71,12.04,1,False,25.24,2025-04-07,10.71,-3.12,1.0,LOSS
HELI,REAL_ESTATE,early,NEUTRAL,2025-04-07,10.89,10.62,11.93,2,False,28.85,2025-04-09,10.62,-3.05,1.0,LOSS
COMI,BANKS,ultra,NEUTRAL,2025-03-20,76.22,73.92,83.5,15,False,32.8,2025-04-16,77.0,0.45,0.34,EXIT
CIEB,BANKS,early,NEUTRAL,2025-04-06,18.38,17.64,20.13,15,False,24.9,2025-04-30,18.65999984741211,0.95,0.38,EXIT
JUFO,SERVICES,buy,NEUTRAL,2025-04-07,31.05,29.8,34.02,15,False,25.29,2025-05-04,31.00883674621582,-0.71,0.03,EXIT
HELI,REAL_ESTATE,early,NEUTRAL,2025-04-09,10.29,9.88,11.27,15,False,26.43,2025-05-06,10.898809432983398,5.34,1.48,EXIT
EAST,ENERGY,early,NEUTRAL,2025-04-10,31.26,30.01,34.25,15,False,20.19,2025-05-07,32.507259368896484,3.41,1.0,EXIT
SKPC,INDUSTRIAL,ultra,NEUTRAL,2025-04-16,21.44,20.8,23.49,11,False,36.22,2025-05-07,20.8,-3.56,1.0,LOSS
SWDY,ENERGY,ultra,NEUTRAL,2025-04-30,80.57,78.14,88.26,6,False,24.32,2025-05-11,78.14,-3.59,1.0,LOSS
PHDC,REAL_ESTATE,ultra,NEUTRAL,2025-05-04,6.99,6.78,7.66,5,False,35.13,2025-05-11,6.78,-3.58,1.0,LOSS
ABUK,ENERGY,early,NEUTRAL,2025-05-06,48.78,46.82,53.44,6,False,33.86,2025-05-14,46.82,-4.59,1.0,LOSS
ISPH,ENERGY,early,NEUTRAL,2025-05-11,8.99,8.63,9.85,7,False,20.17,2025-05-20,9.85,8.99,2.39,WIN
CNFN,BANKS,buy,NEUTRAL,2025-05-14,4.31,4.14,4.72,4,False,21.89,2025-05-20,4.72,8.94,2.41,WIN
TMGH,REAL_ESTATE,early,NEUTRAL,2025-05-11,53.07,50.94,58.14,8,False,24.98,2025-05-21,50.94,-4.59,1.0,LOSS
FWRY,SERVICES,early,NEUTRAL,2025-05-20,10.62,10.3,11.63,2,False,27.29,2025-05-22,11.63,8.94,3.16,WIN
FWRY,SERVICES,early,NEUTRAL,2025-05-22,11.44,11.15,12.54,2,False,24.69,2025-05-26,11.15,-3.11,1.0,LOSS
ETEL,SERVICES,early,NEUTRAL,2025-05-07,35.02,33.97,38.37,15,False,28.91,2025-05-28,36.9900016784668,5.05,1.88,EXIT
HELI,REAL_ESTATE,early,NEUTRAL,2025-05-08,10.82,10.38,11.85,15,False,27.85,2025-05-29,11.427878379821777,5.04,1.38,EXIT
DSCW,REAL_ESTATE,ultra,NEUTRAL,2025-05-28,2.51,2.43,2.75,2,False,32.05,2025-06-01,2.43,-3.76,1.0,LOSS
HELI,REAL_ESTATE,early,NEUTRAL,2025-05-29,11.37,11.09,12.46,2,False,29.78,2025-06-02,11.09,-3.04,1.0,LOSS
CNFN,BANKS,early,NEUTRAL,2025-05-20,4.56,4.37,4.99,12,False,30.81,2025-06-10,4.99,8.85,2.26,WIN
OCDI,REAL_ESTATE,ultra,NEUTRAL,2025-05-25,64.18,62.24,70.31,11,False,25.0,2025-06-12,62.24,-3.6,1.0,LOSS
TMGH,REAL_ESTATE,early,NEUTRAL,2025-05-29,54.73,52.52,59.95,8,False,24.7,2025-06-15,52.52,-4.61,1.0,LOSS
COMI,BANKS,ultra,NEUTRAL,2025-06-01,80.25,77.83,87.91,7,False,29.75,2025-06-15,77.83,-3.59,1.0,LOSS
SWDY,ENERGY,early,NEUTRAL,2025-06-02,80.16,77.74,87.81,6,False,23.13,2025-06-15,77.74,-3.59,1.0,LOSS
KZPC,INDUSTRIAL,early,NEUTRAL,2025-06-10,11.51,11.04,12.6,3,False,23.56,2025-06-15,11.04,-4.66,1.0,LOSS
ORWE,SERVICES,ultra,NEUTRAL,2025-06-12,22.49,21.81,24.63,1,False,31.36,2025-06-15,21.81,-3.6,1.0,LOSS
EGTS,SERVICES,early,NEUTRAL,2025-06-15,8.16,7.91,8.94,4,False,29.44,2025-06-19,7.91,-3.64,1.0,LOSS
DSCW,REAL_ESTATE,ultra,NEUTRAL,2025-06-15,2.55,2.47,2.79,5,False,25.0,2025-06-22,2.47,-3.71,1.0,LOSS
FWRY,SERVICES,buy,NEUTRAL,2025-06-22,11.65,11.3,12.76,4,False,20.3,2025-06-29,12.76,8.95,3.17,WIN
ORWE,SERVICES,early,BULL,2025-06-24,23.57,22.98,25.82,8,False,37.05,2025-07-09,22.98,-3.08,1.0,LOSS
COMI,BANKS,buy,NEUTRAL,2025-06-22,79.4,77.01,86.98,13,False,21.2,2025-07-14,86.98,8.97,3.17,WIN
MFPC,ENERGY,early,NEUTRAL,2025-06-29,37.41,36.47,40.98,9,False,33.11,2025-07-14,36.47,-3.09,1.0,LOSS
ETEL,SERVICES,buy,BULL,2025-06-23,37.3,36.37,40.86,15,False,32.15,2025-07-17,38.369998931884766,2.29,1.15,EXIT
SKPC,INDUSTRIAL,early,NEUTRAL,2025-06-25,19.79,19.29,21.68,15,False,30.74,2025-07-21,20.81999969482422,4.63,2.06,EXIT
HELI,REAL_ESTATE,early,NEUTRAL,2025-07-20,10.09,9.84,11.05,4,False,29.55,2025-07-27,9.84,-3.05,1.0,LOSS
SKPC,INDUSTRIAL,early,NEUTRAL,2025-07-21,20.72,20.09,22.69,3,False,25.29,2025-07-27,20.09,-3.62,1.0,LOSS
ABUK,ENERGY,early,NEUTRAL,2025-07-15,45.68,44.3,50.04,10,False,30.17,2025-07-30,44.3,-3.6,1.0,LOSS
DSCW,REAL_ESTATE,early,NEUTRAL,2025-07-28,3.22,3.09,3.53,2,False,21.61,2025-07-30,3.09,-4.61,1.0,LOSS
EAST,ENERGY,early,NEUTRAL,2025-07-09,29.75,29.0,32.59,15,False,32.87,2025-07-31,31.822994232177734,6.39,2.76,EXIT
CIEB,BANKS,early,NEUTRAL,2025-07-14,18.26,17.71,20.0,15,False,29.79,2025-08-05,18.399999618530273,0.19,0.25,EXIT
ETEL,SERVICES,buy,NEUTRAL,2025-07-28,38.8,37.63,42.5,9,False,20.84,2025-08-10,42.5,8.96,3.16,WIN
HELI,REAL_ESTATE,ultra,BULL,2025-08-10,10.04,9.74,11.0,3,False,30.05,2025-08-13,9.74,-3.56,1.0,LOSS
TMGH,REAL_ESTATE,early,BULL,2025-08-12,56.02,54.33,61.37,2,False,30.46,2025-08-14,54.33,-3.59,1.0,LOSS
FWRY,SERVICES,early,NEUTRAL,2025-07-30,12.44,11.94,13.63,14,False,23.15,2025-08-19,13.63,8.99,2.38,WIN
JUFO,SERVICES,buy,NEUTRAL,2025-08-03,28.29,27.44,30.99,13,False,23.1,2025-08-20,27.44,-3.58,1.0,LOSS
SKPC,INDUSTRIAL,ultra,BULL,2025-08-10,20.08,19.47,22.0,8,False,28.27,2025-08-20,19.47,-3.61,1.0,LOSS
